number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
66,5.1863579750061035,2020-06-21 01:07:02.768278,2020-06-21 01:59:58.429812,0 days 00:52:55.661534000,64,0.99,6.109555861660765e-05,10000,0.6573483318013136,ornstein-uhlenbeck,True,True,PRUNED
67,2.2337887287139893,2020-06-21 01:19:43.910906,2020-06-21 04:00:57.741977,0 days 02:41:13.831071000,64,0.99,5.91494160193907e-05,10000,0.6282201489816944,ornstein-uhlenbeck,True,True,COMPLETE
68,5.896073818206787,2020-06-21 01:27:13.802730,2020-06-21 02:20:55.205293,0 days 00:53:41.402563000,64,0.98,5.307922444628498e-05,10000,0.6269088852957259,normal,True,True,PRUNED
69,0.18012504279613495,2020-06-21 01:27:19.411582,2020-06-21 04:12:53.271980,0 days 02:45:33.860398000,64,0.98,0.0010561308249352115,100000,0.6404031783349042,normal,True,True,COMPLETE
70,0.950549304485321,2020-06-21 01:33:00.143895,2020-06-21 04:14:48.594548,0 days 02:41:48.450653000,64,0.98,7.73114708982776e-05,100000,0.6763756503367282,normal,True,True,COMPLETE
71,4.19737434387207,2020-06-21 01:39:05.695642,2020-06-21 02:32:42.292050,0 days 00:53:36.596408000,64,0.98,9.360410277878554e-05,100000,0.6645377612696964,normal,True,True,PRUNED
72,1.067076325416565,2020-06-21 01:41:10.982526,2020-06-21 04:23:56.544290,0 days 02:42:45.561764000,64,0.98,8.678712903103925e-05,100000,0.6658402178474767,normal,True,True,COMPLETE
73,3.1295106410980225,2020-06-21 01:56:57.643709,2020-06-21 02:50:05.521901,0 days 00:53:07.878192000,64,0.98,9.844389182720314e-05,100000,0.7111412376282852,normal,True,True,PRUNED
74,6.174837589263916,2020-06-21 02:00:00.052446,2020-06-21 02:52:54.132745,0 days 00:52:54.080299000,64,0.98,0.00014306911544965551,100000,0.682536563218628,normal,True,True,PRUNED
75,4.097836017608643,2020-06-21 02:20:56.963888,2020-06-21 03:14:43.866734,0 days 00:53:46.902846000,64,0.98,0.0001307858124440316,100000,0.7325804491430898,normal,True,True,PRUNED
76,1.205764651298523,2020-06-21 02:23:05.093924,2020-06-21 05:02:52.627808,0 days 02:39:47.533884000,64,0.98,0.0001513951832935,100000,0.7166442999900221,normal,True,True,COMPLETE
77,2.718763589859009,2020-06-21 02:27:33.926068,2020-06-21 03:21:16.156634,0 days 00:53:42.230566000,64,0.98,0.00020272788346827105,100000,0.722622856784943,normal,True,True,PRUNED
78,0.9383149147033691,2020-06-21 02:32:44.048882,2020-06-21 05:11:11.536832,0 days 02:38:27.487950000,64,0.98,2.7844387407807287e-05,100000,0.7335294506199352,normal,True,True,COMPLETE
79,0.43698397278785706,2020-06-21 02:50:06.984822,2020-06-21 05:22:58.371353,0 days 02:32:51.386531000,64,0.98,0.00024452284029788764,100000,0.7877433818034816,normal,True,True,COMPLETE
80,0.8748949766159058,2020-06-21 02:52:55.607071,2020-06-21 05:24:10.760626,0 days 02:31:15.153555000,64,0.98,0.0002736762662288282,100000,0.8077829718750427,normal,True,True,COMPLETE
81,1.1780602931976318,2020-06-21 03:09:52.141683,2020-06-21 05:36:19.092799,0 days 02:26:26.951116000,64,0.999,0.001693556629648798,100000,0.17627860317931704,normal,True,True,COMPLETE
82,0.956508994102478,2020-06-21 03:13:38.453176,2020-06-21 06:20:14.875951,0 days 03:06:36.422775000,128,0.999,0.0002846438933011151,100000,0.8148391362662792,adaptive-param,True,True,COMPLETE
83,2.8299152851104736,2020-06-21 03:14:45.652008,2020-06-21 06:21:00.006477,0 days 03:06:14.354469000,128,0.999,0.00025303808674698256,100000,0.7881192497516272,adaptive-param,True,True,COMPLETE
84,4.814392566680908,2020-06-21 03:21:17.976699,2020-06-21 04:52:26.502199,0 days 01:31:08.525500000,128,0.999,0.0018112185139519494,100000,0.8156769118126155,adaptive-param,True,True,PRUNED
85,4.981135368347168,2020-06-21 03:25:56.262876,2020-06-21 04:53:39.601913,0 days 01:27:43.339037000,128,0.999,2.755512970212215e-05,100000,0.8155215521283538,normal,True,True,PRUNED
86,0.7056601643562317,2020-06-21 03:41:03.331533,2020-06-21 06:22:22.192717,0 days 02:41:18.861184000,128,0.999,0.000300774709546748,100000,0.8122449743686614,normal,True,True,COMPLETE
87,1.5606626272201538,2020-06-21 03:41:14.492599,2020-06-21 05:16:26.960052,0 days 01:35:12.467453000,128,0.999,0.00029608547439971685,100000,0.7810030828875933,normal,True,True,PRUNED
88,0.5171321630477905,2020-06-21 03:41:22.217402,2020-06-21 05:52:06.641942,0 days 02:10:44.424540000,64,0.9,2.635849939625635e-05,10000,0.7958061851773559,normal,True,True,COMPLETE
89,1.4998151063919067,2020-06-21 03:41:46.122160,2020-06-21 05:53:03.412845,0 days 02:11:17.290685000,64,0.9,0.000288007121941055,10000,0.7978466467170149,ornstein-uhlenbeck,True,True,COMPLETE
90,2.389775276184082,2020-06-21 04:00:57.763966,2020-06-21 04:53:12.237434,0 days 00:52:14.473468000,64,0.9,0.000274235162797814,10000,0.7647979694715178,ornstein-uhlenbeck,True,True,PRUNED
91,1.4451826810836792,2020-06-21 04:12:53.285947,2020-06-21 06:06:00.628179,0 days 01:53:07.342232000,64,0.98,0.00026518325412669224,100000,0.7837194808151986,normal,True,True,COMPLETE
92,8.555625915527344,2020-06-21 04:14:48.612151,2020-06-21 05:07:00.113917,0 days 00:52:11.501766000,64,0.98,0.0018316246883665584,100000,0.8043541960513962,ornstein-uhlenbeck,True,True,PRUNED
93,4.4275383949279785,2020-06-21 04:15:05.869381,2020-06-21 05:06:37.721412,0 days 00:51:31.852031000,64,0.9,0.0002850436941222909,100000,0.7927176761529906,ornstein-uhlenbeck,True,True,PRUNED
94,0.8644453883171082,2020-06-21 04:17:05.047862,2020-06-21 06:39:19.923244,0 days 02:22:14.875382000,256,0.9,0.00026849736155956986,100000,0.7928600779270124,ornstein-uhlenbeck,True,True,COMPLETE
95,1.7390838861465454,2020-06-21 04:17:39.226590,2020-06-21 06:40:25.456286,0 days 02:22:46.229696000,256,0.9,0.0016809864864244098,100000,0.7727416773046532,ornstein-uhlenbeck,True,True,COMPLETE
96,1.2012825012207031,2020-06-21 04:23:56.557316,2020-06-21 06:40:33.595419,0 days 02:16:37.038103000,256,0.9,0.00027924914719595033,100000,0.82923915189888,ornstein-uhlenbeck,True,True,COMPLETE
97,1.3003333806991577,2020-06-21 04:38:16.851512,2020-06-21 06:41:52.459278,0 days 02:03:35.607766000,256,0.9,0.0009301891779394479,1000000,0.7950765912319926,adaptive-param,True,False,COMPLETE
98,1.7219593524932861,2020-06-21 04:52:28.537168,2020-06-21 06:42:10.517330,0 days 01:49:41.980162000,256,0.9999,0.0008540340402841995,1000000,0.7645764569815026,adaptive-param,True,False,COMPLETE
99,2.0627379417419434,2020-06-21 04:53:13.914378,2020-06-21 06:21:03.822280,0 days 01:27:49.907902000,256,0.9999,0.0007462833022765247,1000000,0.8089946179788754,adaptive-param,True,False,PRUNED
