number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
87,0.5314929485321045,2020-06-20 20:03:10.117480,2020-06-20 20:15:53.457733,0 days 00:12:43.340253000,4.613032972114608e-07,0.995,0.9365314827912443,constant,2048,0.12574599587373164,COMPLETE
88,0.3903036117553711,2020-06-20 20:03:22.479068,2020-06-20 20:15:56.598975,0 days 00:12:34.119907000,5.658709807157704e-07,0.995,1.1589501605524229e-05,constant,2048,0.12969860063154592,COMPLETE
89,0.5526328086853027,2020-06-20 20:03:27.167620,2020-06-20 20:15:55.006366,0 days 00:12:27.838746000,4.671816120114084e-07,0.995,0.8685059769268226,constant,2048,0.136608003787795,COMPLETE
90,0.39457812905311584,2020-06-20 20:03:37.359283,2020-06-20 20:12:48.995528,0 days 00:09:11.636245000,3.463784270228012e-07,0.995,3.0499047024283126e-05,constant,2048,0.1279792679515566,PRUNED
91,0.42091673612594604,2020-06-20 20:03:47.616521,2020-06-20 20:12:45.889645,0 days 00:08:58.273124000,4.917765219098958e-07,0.995,2.2983211844667442e-05,constant,2048,0.13122423250032178,PRUNED
92,0.3721463084220886,2020-06-20 20:03:55.237645,2020-06-20 20:15:54.450331,0 days 00:11:59.212686000,2.020384199246268e-07,0.995,2.7707159583657562e-05,linear,2048,0.1271570793191354,COMPLETE
93,0.3769453167915344,2020-06-20 20:03:56.076616,2020-06-20 20:15:56.432893,0 days 00:12:00.356277000,6.164721072199439e-07,0.995,2.5403616584222814e-05,linear,2048,0.25283063289245183,COMPLETE
94,0.37869781255722046,2020-06-20 20:04:01.549067,2020-06-20 20:15:58.148190,0 days 00:11:56.599123000,4.975766081950634e-07,0.995,2.4224875075178505e-05,linear,2048,0.16692482887587232,COMPLETE
95,0.4930741786956787,2020-06-20 20:04:04.545771,2020-06-20 20:12:57.768592,0 days 00:08:53.222821000,2.53221695035409e-05,0.995,2.5141950488285333e-05,linear,2048,0.3513558841446522,PRUNED
96,0.4253782331943512,2020-06-20 20:04:09.313295,2020-06-20 20:12:57.696547,0 days 00:08:48.383252000,6.615311951421406e-07,0.995,3.215286808155487e-05,linear,2048,0.14916867512810353,PRUNED
97,0.4168106019496918,2020-06-20 20:04:17.708915,2020-06-20 20:13:02.452188,0 days 00:08:44.743273000,1.591914458055864e-07,0.995,2.659196890738849e-05,linear,2048,0.1164668165749124,PRUNED
98,0.38473808765411377,2020-06-20 20:04:31.693514,2020-06-20 20:16:00.820096,0 days 00:11:29.126582000,8.352989865921837e-07,0.995,2.3675673327936226e-05,linear,2048,0.1452939118857111,COMPLETE
99,0.42512422800064087,2020-06-20 20:04:34.963407,2020-06-20 20:16:00.883754,0 days 00:11:25.920347000,4.6920630628626276e-05,0.995,1.0103633279822189e-05,linear,2048,0.14261142234599658,COMPLETE
