seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,timesteps
-3.0635909130520393,-2.6945295624082553,-2.083346631214747,-2.21231213428435,-3.6451414540274905,-3.982965750385695,-2.4016923590915726,-3.306036161724692,-3.164916679313366,-3.7158664360508964,4500
-1.9622527426710727,-2.474473819215156,-1.9063043740701329,-2.1506588340738904,-3.018982534180151,-1.903906543409525,-2.69728096766429,-2.6503234797931805,-2.5899422941025514,-3.9226443084747,4600
-3.965753431394342,-2.3157224959000398,-3.4158159020092946,-2.874974568408649,-3.3462949333303764,-3.6686214281595935,-3.17558208978377,-2.589943137562087,-3.2382245186157195,-3.9852367748975728,4700
-1.6280697545729992,-2.8507032828510512,-4.01431779617285,-4.027616357620027,-3.282395737601747,-2.227744334566134,-2.3439780271549795,-2.432270194078027,-2.357350116333413,-4.270660519866868,4800
-2.880573703218803,-2.5833878837150004,-5.8265314237791275,-3.4336276639514804,-3.103861052648408,-3.036790825146494,-2.640891838187738,-2.8245761849559488,-2.8129199516577996,-2.5212562251924515,4900
-3.1903496826553623,-3.4674541877789014,-2.9502700698314053,-3.7256965859950166,-4.146015122929021,-2.908093530024607,-2.9107553060096985,-3.2500708992325036,-3.470786041030884,-2.2533030019577325,5000
-3.0043889850999634,-3.1231031174918615,-3.1440259005618523,-4.877220126059364,-3.793022208298176,-3.8322206400236976,-1.5915875581250059,-2.800363988553532,-2.701099616348446,-1.9364297258785816,5100
-2.5442996776730453,-5.166428254946026,-2.761883267925576,-4.256182504034302,-2.23547470117321,-3.882212855205498,-3.9422239890177653,-2.3699607259045097,-1.202220879375353,-3.284918661943484,5200
-3.8974105991256054,-3.144138479338062,-3.884008778022374,-2.377080770568899,-4.232540147465884,-1.1472632805604985,-3.950639774609177,-3.7765719157660516,-1.3540012227244576,-2.145986332094644,5300
-1.9608776661898801,-2.860703184734974,-3.240673558622511,-3.2799321394299383,-1.4270785816723373,-2.3590529956461515,-3.9169694261425967,-1.614729790776683,-2.5216964235756647,-2.395335533889943,5400
-1.836274912204001,-3.2761411625836856,-2.218568070975804,-2.3896937434422902,-2.721735834617294,-3.924395395205434,-2.1707136735681627,-2.5140821200869614,-2.8559488261405854,-2.5482429255053574,5500
