number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
87,0.2431478053331375,2020-06-16 12:50:03.592964,2020-06-16 14:03:23.956579,0 days 01:13:20.363615000,32,0.2,4.004948457296962e-06,0.9,1.0,5.248647462202578e-05,1024,20,COMPLETE
88,1.918667197227478,2020-06-16 12:53:13.246073,2020-06-16 13:37:23.841285,0 days 00:44:10.595212000,32,0.2,6.256608246876178e-05,0.9,1.0,5.805118515842355e-05,1024,20,PRUNED
89,0.7612848281860352,2020-06-16 12:54:01.210074,2020-06-16 13:38:00.014284,0 days 00:43:58.804210000,32,0.2,6.934260825189322e-07,0.9,1.0,0.0001274087134411215,1024,20,PRUNED
90,1.3740551471710205,2020-06-16 12:55:20.884653,2020-06-16 13:54:56.931257,0 days 00:59:36.046604000,256,0.3,7.418823777201715e-05,0.9,1.0,9.011794594346123e-05,1024,20,PRUNED
91,0.145681232213974,2020-06-16 12:58:55.272664,2020-06-16 14:00:15.177717,0 days 01:01:19.905053000,256,0.3,0.01081378927195837,0.9,1.0,0.0011999897798656704,1024,20,COMPLETE
92,2.65043306350708,2020-06-16 12:59:03.365787,2020-06-16 13:34:33.608835,0 days 00:35:30.243048000,256,0.3,0.008693617614142,0.9,1.0,0.0012423037589888155,1024,20,PRUNED
93,4.4471516609191895,2020-06-16 13:00:37.800162,2020-06-16 14:00:46.799873,0 days 01:00:08.999711000,256,0.3,0.010384209720554717,0.9,1.0,0.0002544013380403173,1024,20,COMPLETE
94,2.104984760284424,2020-06-16 13:02:42.598067,2020-06-16 13:37:31.149057,0 days 00:34:48.550990000,256,0.3,0.007020125182097319,0.9,1.0,0.00030233409711784585,1024,20,PRUNED
95,0.8321833610534668,2020-06-16 13:03:38.192522,2020-06-16 14:01:16.224228,0 days 00:57:38.031706000,256,0.3,0.006629708003540917,0.9,1.0,0.001131719721011854,1024,20,COMPLETE
96,1.3712600469589233,2020-06-16 13:03:52.568595,2020-06-16 13:38:25.263071,0 days 00:34:32.694476000,256,0.3,0.007446494717264584,0.9,1.0,0.0011348327859649185,1024,20,PRUNED
97,1.8704051971435547,2020-06-16 13:12:42.607168,2020-06-16 13:43:17.096671,0 days 00:30:34.489503000,256,0.3,0.005872984683163949,0.9,1.0,0.0010420066828881593,1024,20,PRUNED
98,0.45951682329177856,2020-06-16 13:26:01.925919,2020-06-16 14:03:36.797576,0 days 00:37:34.871657000,256,0.3,0.00997522767745373,0.9,1.0,0.018670455974883177,1024,20,COMPLETE
99,2.117849826812744,2020-06-16 13:28:05.985216,2020-06-16 13:52:38.808399,0 days 00:24:32.823183000,256,0.3,1.5960407889760788e-06,0.9,1.0,0.00150665648270936,1024,20,PRUNED
