number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
87,1.3948256969451904,2020-06-23 00:48:33.526052,2020-06-23 00:49:11.483536,0 days 00:00:37.957484000,0.0005054896548755045,0.99,0.0859446102717502,constant,1024,0.4465181989290036,PRUNED
88,1.1436396837234497,2020-06-23 00:49:11.609666,2020-06-23 00:49:56.987644,0 days 00:00:45.377978000,0.026439817818777744,0.9,0.006074503615988797,constant,64,0.10270290841226154,PRUNED
89,1.5844898223876953,2020-06-23 00:49:57.130150,2020-06-23 00:50:45.725080,0 days 00:00:48.594930000,0.09700568080415597,0.95,0.010038206296175566,constant,2048,0.0008614913343486554,COMPLETE
90,2.248265504837036,2020-06-23 00:50:45.727113,2020-06-23 00:51:31.879103,0 days 00:00:46.151990000,0.0163068671642992,0.99,0.643248053984327,constant,32,0.8217750752117758,PRUNED
91,1.1529991626739502,2020-06-23 00:51:32.001581,2020-06-23 00:52:10.990994,0 days 00:00:38.989413000,0.003626117350844727,0.99,9.767672456975061e-05,constant,1024,0.5952817866354769,PRUNED
92,1.1138651371002197,2020-06-23 00:52:11.155057,2020-06-23 00:52:46.604462,0 days 00:00:35.449405000,0.03569490855411642,0.99,7.000518299852328e-05,constant,1024,0.5461701104712995,PRUNED
93,1.1415519714355469,2020-06-23 00:52:46.726371,2020-06-23 00:53:24.005516,0 days 00:00:37.279145000,0.06256942118147046,0.99,0.0004158019434597627,constant,1024,0.5685842109362077,PRUNED
94,0.8883152008056641,2020-06-23 00:53:24.171397,2020-06-23 00:54:10.822174,0 days 00:00:46.650777000,0.017931872586379658,0.99,0.02064557392530066,linear,1024,0.6381299029831433,PRUNED
95,1.1173467636108398,2020-06-23 00:54:10.958496,2020-06-23 00:54:50.012879,0 days 00:00:39.054383000,0.008657572129093,0.999,0.0007202890930791948,constant,256,0.5189528613374654,PRUNED
96,1.189144492149353,2020-06-23 00:54:50.123554,2020-06-23 00:55:30.300916,0 days 00:00:40.177362000,0.0009917509760467241,0.9999,9.193170478363977e-05,constant,128,0.3234003512489261,PRUNED
97,1.3006452322006226,2020-06-23 00:55:30.470956,2020-06-23 00:56:13.586967,0 days 00:00:43.116011000,1.836790229912598e-08,0.995,2.6750737207535773e-05,constant,8,0.47316709719901956,PRUNED
98,1.81560480594635,2020-06-23 00:56:13.707033,2020-06-23 00:56:40.099546,0 days 00:00:26.392513000,0.05100201374012041,0.99,0.36997037832577157,constant,1024,0.35619115913868343,PRUNED
99,1.3467425107955933,2020-06-23 00:56:40.216331,2020-06-23 00:57:19.329383,0 days 00:00:39.113052000,0.001997274911959839,0.95,0.16641836329188014,constant,1024,0.7076165039535294,PRUNED
